patch_id,center_lat,center_lon,timestamp,dem_mean_elev,dem_max_slope,dem_mean_slope,dem_aspect,image_path,rain_6h,soil_moisture_mean_6h,vib_rms_6h,porepressure_mean_6h,displacement_6h,label_rockfall_within_24h
40,1669884.3989252108,648731.0173682431,2025-09-11T14:28:45.960755,-29075.3046875,-9999.0,-9999.0,-9999.0,,,,,,,
41,1669884.3989252108,648821.9219297217,2025-09-11T14:28:45.965258,-21690.443359375,-9999.0,-9999.0,-9999.0,,,,,,,
42,1669884.3989252108,648912.8264912004,2025-09-11T14:28:45.969806,-21690.8125,-9999.0,-9999.0,-9999.0,,,,,,,
43,1669884.3989252108,649003.731052679,2025-09-11T14:28:45.973813,-21690.24609375,-9999.0,-9999.0,-9999.0,,,,,,,
44,1669884.3989252108,649094.6356141578,2025-09-11T14:28:45.979727,-21690.3828125,-9999.0,-9999.0,-9999.0,,,,,,,
45,1669884.3989252108,649185.5401756364,2025-09-11T14:28:45.985237,-21690.55859375,-9999.0,-9999.0,-9999.0,,,,,,,
46,1669884.3989252108,649276.4447371151,2025-09-11T14:28:45.990763,-21691.34765625,-9999.0,-9999.0,-9999.0,,,,,,,
47,1669884.3989252108,649367.3492985937,2025-09-11T14:28:45.993763,-21692.234375,-9999.0,-9999.0,-9999.0,,,,,,,
48,1669884.3989252108,649458.2538600723,2025-09-11T14:28:45.999730,-21692.81640625,-9999.0,-9999.0,-9999.0,,,,,,,
49,1669884.3989252108,649549.158421551,2025-09-11T14:28:46.003736,-21692.958984375,-9999.0,-9999.0,-9999.0,,,,,,,
50,1669884.3989252108,649640.0629830298,2025-09-11T14:28:46.008818,-21692.759765625,-9999.0,-9999.0,-9999.0,,,,,,,
51,1669884.3989252108,649730.9675445084,2025-09-11T14:28:46.012823,-21693.05859375,-9999.0,-9999.0,-9999.0,,,,,,,
52,1669884.3989252108,649821.872105987,2025-09-11T14:28:46.017578,-21692.71875,-9999.0,-9999.0,-9999.0,,,,,,,
53,1669884.3989252108,649912.7766674657,2025-09-11T14:28:46.022588,-21692.75390625,-9999.0,-9999.0,-9999.0,,,,,,,
54,1669884.3989252108,650003.6812289443,2025-09-11T14:28:46.028162,-21692.294921875,-9999.0,-9999.0,-9999.0,,,,,,,
55,1669884.3989252108,650094.585790423,2025-09-11T14:28:46.033769,-21692.015625,-9999.0,-9999.0,-9999.0,,,,,,,
56,1669884.3989252108,650185.4903519016,2025-09-11T14:28:46.037690,-21691.3828125,-9999.0,-9999.0,-9999.0,,,,,,,
57,1669884.3989252108,650276.3949133803,2025-09-11T14:28:46.042696,-21690.80859375,-9999.0,-9999.0,-9999.0,,,,,,,
58,1669884.3989252108,650367.299474859,2025-09-11T14:28:46.046845,-21690.326171875,-9999.0,-9999.0,-9999.0,,,,,,,
59,1669884.3989252108,650458.2040363377,2025-09-11T14:28:46.051531,-21689.568359375,-9999.0,-9999.0,-9999.0,,,,,,,
60,1669884.3989252108,650549.1085978163,2025-09-11T14:28:46.056112,-21689.478515625,-9999.0,-9999.0,-9999.0,,,,,,,
61,1669884.3989252108,650640.013159295,2025-09-11T14:28:46.060632,-21689.8671875,-9999.0,-9999.0,-9999.0,,,,,,,
62,1669884.3989252108,650730.9177207736,2025-09-11T14:28:46.068755,-21690.17578125,-9999.0,-9999.0,-9999.0,,,,,,,
63,1669884.3989252108,650821.8222822523,2025-09-11T14:28:46.073760,-21690.578125,-9999.0,-9999.0,-9999.0,,,,,,,
64,1669884.3989252108,650912.726843731,2025-09-11T14:28:46.077783,-21690.716796875,-9999.0,-9999.0,-9999.0,,,,,,,
65,1669884.3989252108,651003.6314052097,2025-09-11T14:28:46.081789,-21691.607421875,-9999.0,-9999.0,-9999.0,,,,,,,
66,1669884.3989252108,651094.5359666883,2025-09-11T14:28:46.086895,-21691.8203125,-9999.0,-9999.0,-9999.0,,,,,,,
67,1669884.3989252108,651185.440528167,2025-09-11T14:28:46.090909,-21691.888671875,-9999.0,-9999.0,-9999.0,,,,,,,
68,1669884.3989252108,651276.3450896456,2025-09-11T14:28:46.095415,-21691.28515625,-9999.0,-9999.0,-9999.0,,,,,,,
69,1669884.3989252108,651367.2496511242,2025-09-11T14:28:46.100554,-21691.095703125,-9999.0,-9999.0,-9999.0,,,,,,,
70,1669884.3989252108,651458.1542126029,2025-09-11T14:28:46.104546,-21691.091796875,-9999.0,-9999.0,-9999.0,,,,,,,
71,1669884.3989252108,651549.0587740816,2025-09-11T14:28:46.108081,-21691.00390625,-9999.0,-9999.0,-9999.0,,,,,,,
72,1669884.3989252108,651639.9633355603,2025-09-11T14:28:46.113602,-21690.80078125,-9999.0,-9999.0,-9999.0,,,,,,,
73,1669884.3989252108,651730.8678970389,2025-09-11T14:28:46.118617,-21690.966796875,-9999.0,-9999.0,-9999.0,,,,,,,
74,1669884.3989252108,651821.7724585176,2025-09-11T14:28:46.122128,-21691.1796875,-9999.0,-9999.0,-9999.0,,,,,,,
75,1669884.3989252108,651912.6770199962,2025-09-11T14:28:46.126660,-21691.271484375,-9999.0,-9999.0,-9999.0,,,,,,,
76,1669884.3989252108,652003.5815814749,2025-09-11T14:28:46.131178,-21691.2109375,-9999.0,-9999.0,-9999.0,,,,,,,
77,1669884.3989252108,652094.4861429536,2025-09-11T14:28:46.136199,-21691.072265625,-9999.0,-9999.0,-9999.0,,,,,,,
78,1669884.3989252108,652185.3907044323,2025-09-11T14:28:46.139717,-21690.873046875,-9999.0,-9999.0,-9999.0,,,,,,,
79,1669884.3989252108,652276.2952659109,2025-09-11T14:28:46.145218,-21690.3984375,-9999.0,-9999.0,-9999.0,,,,,,,
80,1669884.3989252108,652367.1998273896,2025-09-11T14:28:46.149797,-21690.443359375,-9999.0,-9999.0,-9999.0,,,,,,,
81,1669884.3989252108,652458.1043888682,2025-09-11T14:28:46.153807,-21689.6015625,-9999.0,-9999.0,-9999.0,,,,,,,
82,1669884.3989252108,652549.0089503468,2025-09-11T14:28:46.158449,-21688.873046875,-9999.0,-9999.0,-9999.0,,,,,,,
83,1669884.3989252108,652639.9135118255,2025-09-11T14:28:46.162978,-21688.79296875,-9999.0,-9999.0,-9999.0,,,,,,,
84,1669884.3989252108,652730.8180733041,2025-09-11T14:28:46.167525,-21688.181640625,-9999.0,-9999.0,-9999.0,,,,,,,
85,1669884.3989252108,652821.7226347829,2025-09-11T14:28:46.172527,-21687.966796875,-9999.0,-9999.0,-9999.0,,,,,,,
86,1669884.3989252108,652912.6271962615,2025-09-11T14:28:46.177569,-21687.24609375,-9999.0,-9999.0,-9999.0,,,,,,,
87,1669884.3989252108,653003.5317577402,2025-09-11T14:28:46.182661,-21686.89453125,-9999.0,-9999.0,-9999.0,,,,,,,
88,1669884.3989252108,653094.4363192188,2025-09-11T14:28:46.187267,-21686.791015625,-9999.0,-9999.0,-9999.0,,,,,,,
89,1669884.3989252108,653185.3408806975,2025-09-11T14:28:46.191795,-21686.552734375,-9999.0,-9999.0,-9999.0,,,,,,,
90,1669884.3989252108,653276.2454421761,2025-09-11T14:28:46.195289,-21686.11328125,-9999.0,-9999.0,-9999.0,,,,,,,
91,1669884.3989252108,653367.1500036549,2025-09-11T14:28:46.200810,-21685.74609375,-9999.0,-9999.0,-9999.0,,,,,,,
92,1669884.3989252108,653458.0545651335,2025-09-11T14:28:46.205315,-21685.427734375,-9999.0,-9999.0,-9999.0,,,,,,,
93,1669884.3989252108,653548.9591266122,2025-09-11T14:28:46.210877,-10602.8486328125,0.5053547620773315,-7776.904296875,-7739.89501953125,,,,,,,
94,1669884.3989252108,653639.8636880908,2025-09-11T14:28:46.215919,-10602.7421875,0.5599216222763062,-6665.82666015625,-6591.15771484375,,,,,,,
95,1669884.3989252108,653730.7682495695,2025-09-11T14:28:46.219934,-10602.33984375,0.8025410771369934,-6665.783203125,-6597.22314453125,,,,,,,
96,1669884.3989252108,653821.6728110481,2025-09-11T14:28:46.225480,-10602.10546875,0.6944817900657654,-6665.82470703125,-6572.5146484375,,,,,,,
97,1669884.3989252108,653912.5773725267,2025-09-11T14:28:46.230588,-10601.712890625,0.8867772817611694,-6665.75927734375,-6591.9443359375,,,,,,,
98,1669884.3989252108,654003.4819340055,2025-09-11T14:28:46.235997,-10601.7138671875,0.7019913196563721,-6665.78271484375,-6624.2373046875,,,,,,,
99,1669884.3989252108,654094.3864954842,2025-09-11T14:28:46.239523,-10601.7197265625,0.6980246901512146,-6665.81787109375,-6593.8505859375,,,,,,,
100,1669884.3989252108,654185.2910569628,2025-09-11T14:28:46.244533,-10601.34765625,0.988453209400177,-6665.8251953125,-6578.1513671875,,,,,,,
101,1669884.3989252108,654276.1956184414,2025-09-11T14:28:46.248565,-10600.45703125,1.2185540199279785,-6665.64697265625,-6588.619140625,,,,,,,
102,1669884.3989252108,654367.1001799201,2025-09-11T14:28:46.252565,-10599.6142578125,2.3484485149383545,-6665.349609375,-6595.01904296875,,,,,,,
103,1669884.3989252108,654458.0047413987,2025-09-11T14:28:46.257584,-10598.9443359375,1.385502576828003,-6665.59521484375,-6560.9287109375,,,,,,,
104,1669884.3989252108,654548.9093028775,2025-09-11T14:28:46.262681,-10597.5546875,1.6090052127838135,-6665.52783203125,-6587.09619140625,,,,,,,
105,1669884.3989252108,654639.8138643561,2025-09-11T14:28:46.266869,-10596.5703125,1.673823356628418,-6665.541015625,-6592.05126953125,,,,,,,
106,1669884.3989252108,654730.7184258348,2025-09-11T14:28:46.270868,-10595.9189453125,1.0201257467269897,-6665.728515625,-6579.1259765625,,,,,,,
107,1669884.3989252108,654821.6229873134,2025-09-11T14:28:46.275364,-10594.76171875,1.5512635707855225,-6665.52490234375,-6572.04638671875,,,,,,,
108,1669884.3989252108,654912.5275487921,2025-09-11T14:28:46.279884,-10593.505859375,1.1170049905776978,-6665.69189453125,-6581.1591796875,,,,,,,
109,1669884.3989252108,655003.4321102707,2025-09-11T14:28:46.285400,-10592.3427734375,1.6532962322235107,-6665.51904296875,-6584.55322265625,,,,,,,
110,1669884.3989252108,655094.3366717494,2025-09-11T14:28:46.289954,-10591.0244140625,1.3620688915252686,-6665.69189453125,-6587.3076171875,,,,,,,
111,1669884.3989252108,655185.241233228,2025-09-11T14:28:46.293945,-10590.88671875,1.426458716392517,-6665.755859375,-6597.978515625,,,,,,,
112,1669884.3989252108,655276.1457947068,2025-09-11T14:28:46.299839,-10588.935546875,4.096455097198486,-6664.8642578125,-6597.43896484375,,,,,,,
113,1669884.3989252108,655367.0503561854,2025-09-11T14:28:46.304858,-10588.7958984375,3.9799108505249023,-6664.876953125,-6606.904296875,,,,,,,
114,1669884.3989252108,655457.954917664,2025-09-11T14:28:46.309915,-10587.6025390625,3.5574347972869873,-6664.96044921875,-6589.84033203125,,,,,,,
115,1669884.3989252108,655548.8594791427,2025-09-11T14:28:46.313915,-10586.265625,1.6632260084152222,-6665.48486328125,-6601.31396484375,,,,,,,
116,1669884.3989252108,655639.7640406213,2025-09-11T14:28:46.318169,-10585.56640625,2.05664324760437,-6665.33349609375,-6590.5703125,,,,,,,
117,1669884.3989252108,655730.6686021,2025-09-11T14:28:46.323216,-10583.7783203125,2.1271891593933105,-6665.35205078125,-6584.154296875,,,,,,,
118,1669884.3989252108,655821.5731635788,2025-09-11T14:28:46.329784,-17977.865234375,0.6961426734924316,-8887.9228515625,-8863.501953125,,,,,,,
119,1669884.3989252108,655912.4777250574,2025-09-11T14:28:46.335276,-32768.0,-9999.0,-9999.0,-9999.0,,,,,,,
120,1669793.4943637322,645094.8349090966,2025-09-11T14:28:46.340829,-10615.4306640625,1.2463452816009521,-7776.79248046875,-7702.57373046875,,,,,,,
121,1669793.4943637322,645185.7394705752,2025-09-11T14:28:46.346386,460.6608581542969,1.4252697229385376,-3332.21337890625,-3283.159912109375,,,,,,,
122,1669793.4943637322,645276.6440320539,2025-09-11T14:28:46.353478,461.4541015625,1.5427325963974,-3332.1982421875,-3136.604248046875,,,,,,,
123,1669793.4943637322,645367.5485935325,2025-09-11T14:28:46.358858,462.9065246582031,2.048386573791504,-3332.346435546875,-3159.80126953125,,,,,,,
124,1669793.4943637322,645458.4531550113,2025-09-11T14:28:46.364771,464.97906494140625,2.448181390762329,-3331.67431640625,-3173.9619140625,,,,,,,
125,1669793.4943637322,645549.3577164899,2025-09-11T14:28:46.369846,468.3802185058594,3.1268668174743652,-3331.604736328125,-3164.286865234375,,,,,,,
126,1669793.4943637322,645640.2622779686,2025-09-11T14:28:46.373853,469.3572082519531,1.530132532119751,-3332.48291015625,-3216.92529296875,,,,,,,
127,1669793.4943637322,645731.1668394472,2025-09-11T14:28:46.378272,467.9147644042969,2.13283109664917,-3332.0283203125,-3313.022216796875,,,,,,,
128,1669793.4943637322,645822.0714009259,2025-09-11T14:28:46.382798,469.01849365234375,3.518078327178955,-3331.35205078125,-3150.15087890625,,,,,,,
129,1669793.4943637322,645912.9759624045,2025-09-11T14:28:46.387316,470.7939453125,2.5262093544006348,-3332.108642578125,-3178.159423828125,,,,,,,
130,1669793.4943637322,646003.8805238833,2025-09-11T14:28:46.391841,471.6647644042969,1.344650149345398,-3332.375,-3129.5478515625,,,,,,,
131,1669793.4943637322,646094.7850853619,2025-09-11T14:28:46.396181,471.0612487792969,2.876530170440674,-3331.61572265625,-3300.333251953125,,,,,,,
132,1669793.4943637322,646185.6896468406,2025-09-11T14:28:46.401709,467.8752136230469,3.362321138381958,-3331.2470703125,-3291.304931640625,,,,,,,
