patch_id,center_lat,center_lon,dem_mean_elev,dem_max_slope,dem_mean_slope,dem_aspect
0,1669778.3436034857,645200.8902308217,461.71728515625,1.7728500366210938,0.9983131885528564,233.96157836914062
1,1669778.3436034857,645503.9054357505,466.17718505859375,3.1268668174743652,1.4780857563018799,267.2102355957031
2,1669778.3436034857,645806.9206406794,471.67694091796875,10.830916404724121,3.0490307807922363,194.73912048339844
3,1669778.3436034857,646109.9358456084,471.18353271484375,10.141486167907715,2.5829384326934814,114.86996459960938
4,1669778.3436034857,646412.9510505372,463.3738098144531,5.852874279022217,1.9656543731689453,137.69114685058594
5,1669778.3436034857,646715.966255466,462.68927001953125,4.545254230499268,1.9420357942581177,144.49917602539062
6,1669778.3436034857,647018.9814603949,455.8595275878906,3.406797409057617,1.127525806427002,102.16766357421875
7,1669778.3436034857,647321.9966653239,454.1320495605469,2.041569948196411,0.6452134251594543,234.80030822753906
8,1669778.3436034857,647625.0118702527,455.09649658203125,1.8023499250411987,0.6964204907417297,222.74951171875
9,1669778.3436034857,647928.0270751815,457.0912170410156,1.1682231426239014,0.553092896938324,272.37042236328125
10,1669778.3436034857,648231.0422801104,460.76715087890625,1.4876704216003418,0.8885536789894104,259.08953857421875
11,1669778.3436034857,648534.0574850393,465.2702331542969,9.896156311035156,2.139554023742676,229.13621520996094
12,1669778.3436034857,648837.0726899682,465.5711669921875,2.7695724964141846,1.1287983655929565,156.81246948242188
13,1669778.3436034857,649140.087894897,464.5133361816406,1.879876732826233,1.096362829208374,124.66575622558594
14,1669778.3436034857,649443.1030998259,459.4169921875,2.7993581295013428,1.2532588243484497,146.3639373779297
15,1669778.3436034857,649746.1183047548,459.2245178222656,2.383897542953491,1.0978444814682007,142.2296142578125
16,1669778.3436034857,650049.1335096837,460.01873779296875,1.3390167951583862,0.7851661443710327,267.0354919433594
17,1669778.3436034857,650352.1487146125,464.4873046875,5.278483867645264,1.5666453838348389,263.7950439453125
18,1669778.3436034857,650655.1639195414,467.64910888671875,2.4666907787323,1.203361988067627,145.3450164794922
19,1669778.3436034857,650958.1791244703,463.7901916503906,3.3708250522613525,1.3733001947402954,68.00460815429688
20,1669778.3436034857,651261.1943293991,461.5398864746094,2.6618261337280273,0.98219233751297,190.4058380126953
21,1669778.3436034857,651564.209534328,463.3189392089844,1.2054567337036133,0.35990360379219055,203.2122802734375
